Categoría: Internet y telecomunicaciones

Región,Cupcake: (22/3/18 - 22/3/23)
Baja California,100
San Luis Potosí,95
Puebla,90
Yucatán,90
Sinaloa,83
Nuevo León,79
Michoacán,77
Morelos,71
Guerrero,70
Aguascalientes,70
Jalisco,68
Guanajuato,63
Estado de México,54
Coahuila de Zaragoza,50
Oaxaca,50
Ciudad de México,47
Sonora,44
Chiapas,39
Quintana Roo,35
Veracruz,26
Baja California Sur,
Campeche,
Chihuahua,
Colima,
Durango,
Hidalgo,
Nayarit,
Querétaro,
Tabasco,
Tamaulipas,
Tlaxcala,
Zacatecas,
