Categoría: Juegos

Región,Cupcake: (22/3/18 - 22/3/23)
Durango,100
Baja California Sur,95
Tabasco,91
Yucatán,89
Zacatecas,84
Nayarit,84
Tamaulipas,83
Chiapas,76
Querétaro,76
Guanajuato,74
Coahuila de Zaragoza,74
San Luis Potosí,74
Campeche,71
Jalisco,69
Sonora,68
Puebla,67
Oaxaca,63
Chihuahua,61
Baja California,60
Aguascalientes,58
Michoacán,58
Nuevo León,58
Estado de México,57
Colima,55
Sinaloa,54
Quintana Roo,53
Morelos,52
Hidalgo,51
Veracruz,51
Ciudad de México,50
Guerrero,46
Tlaxcala,18
