Categoría: Libros y literatura

Región,Cupcake: (22/3/18 - 22/3/23)
Sinaloa,100
Baja California Sur,63
Michoacán,57
Chiapas,56
Hidalgo,54
Nayarit,49
Yucatán,45
Zacatecas,44
Quintana Roo,42
Tabasco,41
Morelos,34
Coahuila de Zaragoza,33
Nuevo León,32
Veracruz,29
Jalisco,29
Guanajuato,24
Estado de México,23
Chihuahua,20
Ciudad de México,20
Sonora,18
Tamaulipas,12
Puebla,10
Aguascalientes,
Baja California,
Campeche,
Colima,
Durango,
Guerrero,
Oaxaca,
Querétaro,
San Luis Potosí,
Tlaxcala,
