Categoría: Deportes

Región,Cupcake: (22/3/18 - 22/3/23)
Durango,100
San Luis Potosí,89
Campeche,87
Zacatecas,67
Coahuila de Zaragoza,66
Baja California,63
Colima,56
Tabasco,54
Veracruz,54
Jalisco,49
Sonora,49
Morelos,48
Tlaxcala,48
Tamaulipas,45
Hidalgo,44
Michoacán,43
Chiapas,39
Puebla,39
Querétaro,39
Quintana Roo,33
Nuevo León,33
Oaxaca,31
Estado de México,30
Chihuahua,29
Ciudad de México,29
Guanajuato,22
Yucatán,20
Sinaloa,13
Aguascalientes,
Baja California Sur,
Guerrero,
Nayarit,
