Categoría: Mercado inmobiliario

Región,Cupcake: (22/3/18 - 22/3/23)
Colima,100
Campeche,54
Nayarit,49
Guerrero,30
Morelos,30
Veracruz,16
Tamaulipas,16
Quintana Roo,14
Sinaloa,12
Nuevo León,12
Puebla,11
Chihuahua,10
Jalisco,7
Ciudad de México,6
Estado de México,5
Aguascalientes,
Baja California,
Baja California Sur,
Chiapas,
Coahuila de Zaragoza,
Durango,
Guanajuato,
Hidalgo,
Michoacán,
Oaxaca,
Querétaro,
San Luis Potosí,
Sonora,
Tabasco,
Tlaxcala,
Yucatán,
Zacatecas,
