Categoría: Google Noticias

Región,Cupcake: (22/3/18 - 22/3/23)
Coahuila de Zaragoza,100
Chiapas,92
Quintana Roo,85
Morelos,71
Chihuahua,70
San Luis Potosí,66
Yucatán,63
Hidalgo,57
Baja California,48
Sinaloa,46
Jalisco,43
Puebla,38
Veracruz,36
Estado de México,34
Ciudad de México,28
Tamaulipas,26
Querétaro,24
Sonora,24
Nuevo León,22
Aguascalientes,
Baja California Sur,
Campeche,
Colima,
Durango,
Guerrero,
Guanajuato,
Michoacán,
Nayarit,
Oaxaca,
Tabasco,
Tlaxcala,
Zacatecas,
