Categoría: Compras

Región,Cupcake: (22/3/18 - 22/3/23)
Tamaulipas,100
Coahuila de Zaragoza,91
San Luis Potosí,86
Sonora,85
Baja California,84
Aguascalientes,82
Tabasco,79
Chihuahua,75
Jalisco,75
Yucatán,68
Nayarit,68
Baja California Sur,66
Zacatecas,66
Colima,65
Guanajuato,65
Veracruz,64
Nuevo León,63
Durango,62
Chiapas,62
Querétaro,60
Michoacán,59
Campeche,58
Sinaloa,57
Hidalgo,57
Oaxaca,53
Morelos,53
Guerrero,52
Estado de México,48
Quintana Roo,48
Ciudad de México,45
Tlaxcala,42
Puebla,38
