Categoría: Ciencias

Región,Cupcake: (22/3/18 - 22/3/23)
Campeche,100
Baja California Sur,88
Tlaxcala,80
Querétaro,73
Zacatecas,69
Coahuila de Zaragoza,61
Durango,59
San Luis Potosí,57
Tabasco,53
Nayarit,51
Guerrero,48
Tamaulipas,48
Veracruz,48
Baja California,46
Yucatán,46
Jalisco,45
Estado de México,39
Michoacán,35
Sinaloa,35
Puebla,34
Nuevo León,33
Aguascalientes,30
Hidalgo,29
Ciudad de México,27
Quintana Roo,25
Sonora,25
Chihuahua,24
Guanajuato,23
Morelos,20
Chiapas,
Colima,
Oaxaca,
