Categoría: Empleo y educación

Región,Cupcake: (22/3/18 - 22/3/23)
Nayarit,100
Chiapas,93
Morelos,90
Zacatecas,88
Guerrero,74
Puebla,70
Veracruz,70
Ciudad de México,69
Quintana Roo,59
Estado de México,56
Sinaloa,56
Hidalgo,54
Tabasco,53
Durango,53
Jalisco,49
Baja California,48
Querétaro,47
Chihuahua,36
Nuevo León,35
Guanajuato,34
Sonora,33
San Luis Potosí,32
Tamaulipas,31
Oaxaca,27
Yucatán,25
Aguascalientes,
Baja California Sur,
Campeche,
Coahuila de Zaragoza,
Colima,
Michoacán,
Tlaxcala,
