Categoría: Finanzas

Región,Cupcake: (22/3/18 - 22/3/23)
Tlaxcala,100
Nayarit,64
Baja California Sur,51
Coahuila de Zaragoza,41
Tabasco,40
Tamaulipas,39
Chihuahua,33
Oaxaca,30
San Luis Potosí,28
Ciudad de México,27
Aguascalientes,25
Jalisco,25
Durango,24
Guanajuato,24
Veracruz,22
Quintana Roo,22
Estado de México,19
Chiapas,18
Querétaro,17
Puebla,17
Sonora,17
Sinaloa,11
Baja California,
Campeche,
Colima,
Guerrero,
Hidalgo,
Michoacán,
Morelos,
Nuevo León,
Yucatán,
Zacatecas,
