Categoría: Animales y mascotas

Región,Cupcake: (22/3/18 - 22/3/23)
Campeche,100
Aguascalientes,85
Quintana Roo,66
Baja California Sur,53
Tabasco,45
Baja California,41
Chiapas,37
Guerrero,36
Yucatán,35
Michoacán,35
Jalisco,33
Hidalgo,32
Puebla,31
Coahuila de Zaragoza,31
Sinaloa,30
Morelos,27
Ciudad de México,27
Oaxaca,26
Guanajuato,26
Estado de México,25
Veracruz,24
Tamaulipas,24
Chihuahua,23
Querétaro,17
Nuevo León,16
Sonora,11
Colima,
Durango,
Nayarit,
San Luis Potosí,
Tlaxcala,
Zacatecas,
